word,word_clean,word_stem,lemma,wclass,word_synonym ,synonym
aurora,aurora,aurora,aurora,noun,"list(syn = c(""aurora"", ""Aurora"", ""break of day"", ""break of the day"", ""cockcrow"", ""dawn"", ""dawning"", ""daybreak"", ""dayspring"", ""first light"", ""morning"", ""sunrise"", ""sunup""))",dawn
authors,authors,author,author,noun,"list(syn = c(""author"", ""generator"", ""source"", ""writer""))",author
autumn,autumn,autumn,autumn,noun,"list(syn = c(""autumn"", ""fall""))",autumn
autumnal,autumnal,autumn,autumnal,adjective,"list(syn = ""autumnal"")",autumnal
ave,ave,ave,NA,NA,list(syn = NA),NA
averting,averting,avert,avert,verb,"list(syn = c(""avert"", ""avoid"", ""debar"", ""deflect"", ""fend off"", ""head off"", ""obviate"", ""stave off"", ""turn away"", ""ward off""))",avoid
avoid,avoid,avoid,avoid,verb,"list(syn = c(""annul"", ""avert"", ""avoid"", ""debar"", ""deflect"", ""fend off"", ""head off"", ""invalidate"", ""keep off"", ""nullify"", ""obviate"", ""quash"", ""stave off"", ""void"", ""ward off""))",avoid
await,await,await,await,verb,"list(syn = c(""await"", ""expect"", ""look"", ""wait""))",await
awaiting,awaiting,await,await,verb,"list(syn = c(""await"", ""expect"", ""look"", ""wait""))",await
awake,awake,awak,awake,adverb,"list(syn = ""awake"")",awake
awakened,awakened,awaken,awaken,verb,"list(syn = c(""arouse"", ""awake"", ""awaken"", ""come alive"", ""rouse"", ""wake"", ""wake up"", ""waken""))",awake
awful,awful,aw,awful,adjective,"list(syn = c(""abominable"", ""amazing"", ""atrocious"", ""awe-inspiring"", ""awed"", ""awesome"", ""awful"", ""awing"", ""dire"", ""direful"", ""dread(a)"", ""dreaded"", ""dreadful"", ""fearful"", ""fearsome"", ""frightening"", ""frightful"", ""horrendous"", ""horrific"", ""nasty"", ""painful"", ""terrible"", ""tremendous"", ""unspeakable""))",dreadful
awhile,awhile,awhil,awhile,adverb,"list(syn = c(""awhile"", ""for a while""))",awhile
awkwardly,awkwardly,awkward,awkwardly,adverb,"list(syn = ""awkwardly"")",awkwardly
awning,awning,awn,awning,noun,"list(syn = c(""awning"", ""sunblind"", ""sunshade""))",awning
azaleas,azaleas,azalea,azalea,noun,"list(syn = ""azalea"")",azalea
babushka,babushka,babushka,babushka,noun,"list(syn = ""babushka"")",babushka
baby,baby,babi,baby,noun,"list(syn = c(""babe"", ""baby"", ""child"", ""infant"", ""sister""))",infant
bachelor,bachelor,bachelor,bachelor,noun,"list(syn = c(""bachelor"", ""bachelor-at-arms"", ""knight bachelor"", ""unmarried man""))",bachelor
backhoe,backhoe,backho,backhoe,noun,"list(syn = ""backhoe"")",backhoe
backpack,backpack,backpack,backpack,noun,"list(syn = c(""back pack"", ""backpack"", ""haversack"", ""knapsack"", ""packsack"", ""rucksack""))",backpack
backyard,backyard,backyard,backyard,noun,"list(syn = ""backyard"")",backyard
backyarda,backyarda,backyarda,NA,NA,list(syn = NA),NA
bad,bad,bad,bad,adjective,"list(syn = c(""bad"", ""big"", ""defective"", ""forged"", ""high-risk"", ""immoral"", ""regretful"", ""risky"", ""sorry"", ""speculative"", ""spoiled"", ""spoilt"", ""tough"", ""uncollectible"", ""unfit"", ""unsound""))",tough
bag,bag,bag,bag,noun,"list(syn = c(""bag"", ""bagful"", ""base"", ""cup of tea"", ""dish"", ""grip"", ""handbag"", ""old bag"", ""pocketbook"", ""purse"", ""suitcase"", ""traveling bag"", ""udder""))",suitcase
bagpipe,bagpipe,bagpip,bagpipe,noun,"list(syn = c(""bagpipe"", ""pipe""))",pipe
bagpipes,bagpipes,bagpip,bagpipes,noun,"list(syn = ""bagpipes"")",bagpipes
bags,bags,bag,bag,noun,"list(syn = c(""bag"", ""bagful"", ""base"", ""cup of tea"", ""dish"", ""grip"", ""handbag"", ""old bag"", ""pocketbook"", ""purse"", ""suitcase"", ""traveling bag"", ""udder""))",suitcase
bailey's,bailey,bailey,bailey,noun,"list(syn = c(""bailey"", ""Bailey"", ""Nathan Bailey"", ""Nathaniel Bailey"", ""Pearl Bailey"", ""Pearl Mae Bailey""))",bailey
bait,bait,bait,bait,noun,"list(syn = c(""bait"", ""come-on"", ""decoy"", ""hook"", ""lure"", ""sweetener""))",hook
balancing,balancing,balanc,balance,verb,"list(syn = c(""balance"", ""equilibrate"", ""equilibrise"", ""equilibrize"", ""poise""))",balance
balcony,balcony,balconi,balcony,noun,"list(syn = ""balcony"")",balcony
bald,bald,bald,bald,adjective,"list(syn = c(""bald"", ""bald-headed"", ""bald-pated"", ""barefaced"", ""denudate"", ""denuded""))",bald
bales,bales,bale,bale,noun,"list(syn = c(""bale"", ""Bale"", ""Basel"", ""Basle""))",bale
ball,ball,ball,ball,noun,"list(syn = c(""ball"", ""Ball"", ""ballock"", ""bollock"", ""chunk"", ""clod"", ""clump"", ""egg"", ""formal"", ""glob"", ""globe"", ""Lucille Ball"", ""lump"", ""musket ball"", ""nut"", ""orb"", ""orchis"", ""testicle"", ""testis""))",lump
ballerina,ballerina,ballerina,ballerina,noun,"list(syn = c(""ballerina"", ""danseuse""))",ballerina
balloon,balloon,balloon,balloon,noun,"list(syn = ""balloon"")",balloon
balloons,balloons,balloon,balloon,verb,"list(syn = c(""balloon"", ""billow"", ""inflate""))",balloon
balls,balls,ball,ball,noun,"list(syn = c(""ball"", ""Ball"", ""ballock"", ""bollock"", ""chunk"", ""clod"", ""clump"", ""egg"", ""formal"", ""glob"", ""globe"", ""Lucille Ball"", ""lump"", ""musket ball"", ""nut"", ""orb"", ""orchis"", ""testicle"", ""testis""))",lump
balm,balm,balm,balm,noun,"list(syn = c(""balm"", ""ointment"", ""salve"", ""unction"", ""unguent""))",balm
balmy,balmy,balmi,balmy,adjective,"list(syn = c(""around the bend"", ""balmy"", ""barmy"", ""bats"", ""batty"", ""bonkers"", ""buggy"", ""cracked"", ""crackers"", ""daft"", ""dotty"", ""fruity"", ""haywire"", ""kookie"", ""kooky"", ""loco"", ""loony"", ""loopy"", ""mild"", ""nuts"", ""nutty"", ""round the bend"", ""soft"", ""wacky"", ""whacky""))",mild
bamboo,bamboo,bamboo,bamboo,noun,"list(syn = ""bamboo"")",bamboo
banana,banana,banana,banana,noun,"list(syn = c(""banana"", ""banana tree""))",banana
band,band,band,band,noun,"list(syn = c(""band"", ""banding"", ""circle"", ""dance band"", ""dance orchestra"", ""isthmus"", ""lot"", ""ring"", ""set"", ""stria"", ""striation"", ""stripe""))",circle
bang,bang,bang,bang,noun,"list(syn = c(""bam"", ""bang"", ""bash"", ""belt"", ""blast"", ""boot"", ""charge"", ""clap"", ""eruption"", ""flush"", ""hit"", ""kick"", ""knock"", ""rush"", ""smash"", ""smasher"", ""strike"", ""thrill""))",knock
banging,banging,bang,bang,verb,"list(syn = c(""bang"", ""be intimate"", ""bed"", ""bonk"", ""do it"", ""eff"", ""fuck"", ""get it on"", ""get laid"", ""have a go at it"", ""have intercourse"", ""have it away"", ""have it off"", ""have sex"", ""hump"", ""jazz"", ""know"", ""lie with"", ""love"", ""make love"", ""make out"", ""roll in the hay"", ""screw"", ""slam"", ""sleep with"", ""spang""))",screw
